ip,occ_count,fail_count,status,classification
45.159.112.142,1351,806,200,bruteforce
185.169.6.22,2493,1381,200,bruteforce
192.145.169.91,3703,2139,200,bruteforce
45.140.17.97,3,0,200,other
49.248.175.215,2828,1695,200,bruteforce
87.106.90.97,163,108,200,bruteforce
190.129.122.185,90,52,200,other
171.254.92.61,276,207,200,bruteforce
185.102.75.74,111,83,200,bruteforce
82.156.52.230,1,0,200,other
114.96.103.55,4,2,200,other
78.128.112.74,20,15,200,other
195.178.110.15,2,0,200,other
197.243.67.27,15,0,200,other
115.190.75.248,48,19,200,other
196.251.114.29,2,0,200,other
204.76.203.83,37,20,200,other
115.159.210.54,1,0,200,other
1.13.19.219,1,0,200,other
222.222.210.183,3,2,200,other
103.82.21.8,155,91,200,bruteforce
43.160.200.211,155,91,200,bruteforce
152.42.203.0,155,91,200,bruteforce
81.211.72.167,153,89,200,bruteforce
210.245.54.206,158,94,200,bruteforce
20.185.243.158,152,88,200,bruteforce
125.124.149.14,1,0,200,other
85.239.151.162,101,59,200,bruteforce
14.103.127.233,1,0,200,other
196.251.84.181,937,690,200,bruteforce
121.52.154.238,143,82,200,bruteforce
14.29.185.239,94,49,200,other
77.82.84.12,151,87,200,bruteforce
64.23.189.160,143,81,200,bruteforce
103.149.28.125,156,92,200,bruteforce
118.25.184.203,1,0,200,other
101.89.186.252,1,0,200,other
58.20.236.52,1,0,200,other
181.116.220.24,152,89,200,bruteforce
135.237.125.221,2,0,200,other
182.42.80.121,1,0,200,other
140.249.81.156,86,41,200,other
124.221.16.51,29,9,200,other
147.185.132.51,1,0,200,other
80.94.93.176,4,0,200,other
193.46.255.7,3,0,200,other
1.71.54.169,130,72,200,bruteforce
23.94.84.109,151,87,200,bruteforce
209.141.57.124,151,87,200,bruteforce
14.103.170.236,1,0,200,other
80.94.93.233,6,0,200,other
193.46.255.103,9,0,200,other
57.132.175.132,1,0,200,other
179.33.186.151,158,94,200,bruteforce
193.46.255.33,2,0,200,other
43.156.119.102,95,55,200,other
80.94.93.119,1,0,200,other
175.126.166.172,131,75,200,bruteforce
115.242.61.98,135,78,200,bruteforce
193.46.255.159,5,0,200,other
193.46.255.244,5,0,200,other
101.126.89.164,1,0,200,other
8.137.104.94,1,0,200,other
103.63.25.115,156,92,200,bruteforce
45.82.78.100,1,0,200,other
220.250.41.11,69,32,200,other
115.190.76.77,1,0,200,other
118.193.43.167,149,85,200,bruteforce
14.103.138.116,1,0,200,other
196.251.88.103,1,0,200,other
193.46.255.99,3,0,200,other
172.236.228.38,3,0,200,other
98.91.26.229,1,0,200,other
193.46.255.20,3,0,200,other
185.247.137.216,2,0,200,other
37.27.209.186,146,82,200,bruteforce
91.205.128.170,146,82,200,bruteforce
104.208.108.166,146,82,200,bruteforce
14.195.83.210,149,85,200,bruteforce
95.90.13.168,146,82,200,bruteforce
36.50.54.25,149,85,200,bruteforce
198.235.24.165,1,0,200,other
193.46.255.217,2,0,200,other
103.152.14.43,151,87,200,bruteforce
5.129.203.54,1,0,200,other
194.187.176.44,1,0,200,other
91.237.163.114,148,85,200,bruteforce
43.225.158.169,149,86,200,bruteforce
103.29.69.96,1,0,200,other
14.103.79.11,6,3,200,other
180.184.36.192,1,0,200,other
95.240.192.149,138,80,200,bruteforce
197.243.14.52,145,81,200,bruteforce
20.88.55.220,145,81,200,bruteforce
103.67.78.49,142,80,200,bruteforce
121.132.81.3,317,272,200,bruteforce
207.166.174.63,89,53,200,other
14.103.158.69,52,29,200,other
1.54.152.53,1,0,200,other
